1-UP	1-up
IMHO	IMHO
IMHO	in my humble opinion
INTERCAL	INTERCAL
INTP	INTP
IP 주소	IP address
IP	IP
IP	Internet Protocol
IPX	IPX
IPX	Internetwork Packet Exchange
IPsec	IPsec
IPv4	IPv4
IPv6	IPv6
IQ	IQ
IRAC	IRAC
IRC	Internet Relay Chat
IRIX	IRIX
IRM	IRM
IRP	IRP
IRQ	IRQ
ISAM	ISAM
ISAM	indexed sequential access method
ISAPI	ISAPI
ISDN	ISDN
ISDN	Integrated Services Digital Network
ISIS	ISIS
ISNS	Internet Storage Name Service
ISO	ISO
ISP	ISP
ISR	ISR
ISTG	ISTG
ISV	ISV
ISV	independent software vendor
IT	IT
ITAR	International Traffic in Arms Regulations
ITO	indium tin oxide
ITU656	ITU656
Ignition	Ignition
Ijipteu	Egypt
Ikalluiteu	Iqaluit
Ikusion	Ixion
Ilbon	Japan
ImageX	ImageX
Indo	India
Indonesia	Indonesia
Insomniac	Insomniac
Inteonet	Net
Inuit	Inuit
IrDA	Infrared Data Association
IrDA	IrDA
IronPython	IronPython
Itallia	Italy
Itanium	Itanium
J	J
JEdit	JEdit
JFN	JFN
JNN	JNN
JP	JP
JPEG	JPEG
JPEG	Joint Photographic Experts Group
JPop	JPop
JQuery	JQuery
JR	Japan Railways Group
JRN	Japan Radio Network
JSON	JSON
JTAG	Joint Test Action Group
JTL	JTL
JVM	JVM
Jambia	Zambia
Java	Java
JavaScript	JavaScript
Jenoba	Genoa
Jesu	Jesus
Jungguk	China
Jwiragi	Jurassic
K	K
K111	Willys MB
K131	KM131 Jeep
KB	KB
KBps	KBps
KCI	Korea Citation Index
KDC	KDC
KDE	KDE
KES	Ksh
KFC	KFC
KLDP	Korean Linux Documentation Project
KNN	Pusan Broadcasting Corporation
KOTOKO	Kotoko
KPI	KPI
KPI	key performance indicator
KROQ	KROQ-FM
KSTAR	KSTAR
KT	KT
KTF	KTF
Kaenada	Canada
Kambojia	Cambodia
Kamerun	Cameroon
Kanososu	Knossos
Kbps	Kbps
Kerberos	Kerberos
Kerplunk	Kerplunk
Keuroachia	Croatia
Key	Key
Keylogger	keylogger
Kimeru	Kimeru
Kiribasi	Kiribati
Kolkata	Kolkata
Korean	neat-freak
Koteudibuareu	Ivory Coast
Kuba	Cuba
Kurnik	Kurnik
Kvikkalkul	Kvikkalkul
L	ل.ل
L2CAP	L2CAP
L2TP	Layer Two Tunneling Protocol
L3CAP	logical link control and adaptation protocol
LAME	LAME
LAMP	LAMP
LAN	LAN
LAN	local area network
LANGID	LANGID
LBA	LBA
LCD	LCD
LCID	LCID
LCP	LCP
LCP	Link Control Protocol
LDAP	LDAP
LDAP	Lightweight Directory Access Protocol
LDD	LDD
LDS	Lightweight Directory Services
LED	LED
LGBT	LGBT
LHA	LHA
LIFO	LIFO
LILO	LILO
LIP	LIP
LORA	LORA
LPD	LPD
LPD	Line Printer Daemon
LPG	LPG
LPGA	LPGA
LPR	LPR
LPR	Line Printer Remote
LPT	LPT
LQFP	LQFP
LSASS	LSASS
LSASS	Local Security Authority Subsystem Service
LSAT	Law School Admission Test
LSN	LSN
LUN	LUN
LZW	Lempel-Ziv-Welch
LaTeX	LaTeX
Leisure	Leisure
Life	Life
LinkAccess	LinkAccess
Linux	GNU/Linux
Loose	Loose
Lucy	Lucy
M	M
M24	Sagittarius Star Cloud
MAC	MAC
MADCAP	MADCAP
MADCAP	Multicast Address Dynamic Client Allocation Protocol
MAME	MAME
MAPI	MAPI
MAPI	Messaging Application Programming Interface
MARS	MARS
MATLAB	MATLAB
MB	MB
MB	MByte
MBCS	MBCS
MBCS	multibyte character set
MBR	MBR
MBR	master boot record
MCAT	Medical College Admission Test
MCDI	MCDI
MCDI	Multimedia Content Description Interface
MCF	MCF
MCS	MCS
MD5	MD5
MDAC	MDAC
MDI	MDI
MFT	MFT
MG3	Rheinmetall MG3
MG34	MG34
MG42	MG42
MGA	Ar
MHTML	MHTML
MHz	MHz
MIDI	MIDI
MIDI	Musical Instrument Digital Interface
MIF	MIF
MIME	MIME
MIME	Multipurpose Internet Mail Extensions
MIMO	Multiple-input multiple-output communications
MIPS	MIPS
MIPS	millions of instructions per second
MITS	Micro Instrumentation and Telemetry Systems
ML	ML
MMC	MMC
MMIX	MMIX
MMX	MMX
MOF	MOF
MOF	Managed Object Format
MOM	MOM
MOP	MOP
MP	MP
MP3	MP3
MP3	MPEG Audio Layer-3
MP40	MP40
MPAA	MPAA
MPAA	Motion Picture Association of America
MPEG	MPEG
MPEG	Moving Picture Experts Group
MPF	MPF
MPIO	MPIO
MRM	MRM
MSCDEX	MSCDEX
MSDN	MSDN
MSIL	MSIL
MSJVM	MSJVM
MSMQ	MSMQ
MSN	MSN
MSNBC	MSNBC
MSRI	Mathematical Sciences Research Institute
MSWMM	MSWMM
MSX	MSX
MTA	MTA
MTE	MTE
MTS	MTS
MTV	MTV
MUR	Rs
MVP	MVP
MW	MW
MWK	MK
MX	MXN
MXML	MXML
MYR	RM
Mac	Mac
Makallu	Makalu
Malbolge	Malbolge
Mallabo	Malabo
Mallawi	Malawi
Malli	Mali
MathWorld	MathWorld
Mbit	Mbit
MegaNet	MegaNet
Melbourne	Melbourne
Meteora	Meteora
Mezmerize	Mezmerize
Microsoft	Microsoft
Miguk	United States
MikTeX	MiKTeX
Millano	Milan
MinGW	MinGW
Miyanma	Myanmar
Moldabia	Moldavia
Moldoba	Moldova
Monad	Monad
Monggol	Mongolia
Moraba	Moravia
Moroko	Morocco
Muhammadeu	Muhammad
MusicXML	MusicXML
Mwinhen	Munich
MxPx	MxPx
MySQL	MySQL
NAMBLA	North American Man/Boy Love Association
NAME	plus pointer
NAME	plus sign
NAP	NAP
NAS	NAS
NASCAR	NASCAR
NAT	NAT
NAT	network address translation
NBC	NBC
NC	NC
NCB	network control block
NCSA	National Center for Supercomputing Applications
NCW	NCW
NDR	NDR
NDS	NDS
NET	NET
NEXTSTEP	NEXTSTEP
NFS	NFS
NHK	NHK
NHN	NHN
NIS	NIS
NIS	Network Information Service
NLA2	NLA2
NMI	NMI
NNN	Nippon News Network
NNTP	NNTP
NNTP	Network News Transfer Protocol
NOD	NOD
NOT	NOT
NP	NP
NRG	NRG
NRN	National Radio Network
NSControl	NSControl
NSI	Network Store Interface
NScripter	NScripter
NT	TWD
NTFS	NTFS
NTLDR	NTLDR
NTLM	NTLM
NTSC	NTSC
NTSC	National Television Standards Committee
NWLink	NWLink
NaN	NaN
Naijiria	Nigeria
Namibia	Namibia
Napolli	Naples
Nedeollandeu	Netherlands
Nepal	Nepal
NetBEUI	NetBEUI
NetBEUI	NetBIOS Extended User Interface
NetBIOS	NetBIOS
NetBIOS	network basic input/output system
NetBSD	NetBSD
NetBT	NetBT
NetBeans	NetBeans
NetPositive	NetPositive
Nevermind	Nevermind
Nijereu	Niger
Nimrod	Nimrod
Noreumangji	Normandy
Nuker	nuker
OAB	OAB
OCR	OCR
ODBC	ODBC
ODBC	Open Database Connectivity
OEM	OEM
OEM	original equipment manufacturer
OFLC	Office of Film and Literature Classification
OID	OID
OK	OK
OLAP	OLAP
OLAP	online analytical processing
OLE	OLE
OLE	object linking and embedding
OLED	OLED
OLIVIA	Olivia Lufkin
OOBE	OOBE
OOP	OOP
OOPSLA	OOPSLA
OPK	OPK
OPML	OPML
OPP	order processing pipeline
OR	OR
OSGi	OSGi
OSI	OSI
OSPF	OSPF
OSx86	OSx86
OUTGROW	Outgrow
OWA	OWA
OXO	OXO
ObjectLink	ObjectLink
Ogg	Ogg
OneX	OneX
OpenBSD	OpenBSD
OpenEXR	OpenEXR
OpenGL	OpenGL
OpenID	OpenID
OpenVZ	OpenVZ
Opencv	OpenCV
Oseuteureillia	Australia
P2PTV	P2PTV
PAC	privilege attribute certificate
PAD	PAD
PAE	PAE
PAL	PAL
PAL	Phase Alternating Line
PAN	PAN
PARC	PARC
PC	PC
PC9801	NEC PC-9801
PCD	PCD
PCI	PCI
PCI	peripheral component interconnect
PCL	PCL
PCL	Printer Command Language
PCL	Printer Control Language
PCM	PCM
PCMCIA	PCMCIA
PCP	PCP
PCR	PCR
PCT	PCT
PCT	Private Communication Technology
PCX	PCX
PC방	Internet cafe
PC방	Internet café
PC방	cybercafé
PDF	PDF
PDF	Portable Document Format
PDL	PDL
PDL	page-description language
PEGI	PEGI
PEGI	Pan-European Game Information
PETA	People for the Ethical Treatment of Animals
PG	PG
PGK	K
PH	PH
PHP	PHP
PIC	PIC
PIF	PIF
PII	PII
PIN	PIN
PJL	PJL
PJL	Printer Job Language
PKCS	PKCS
PKI	PKI
PKR	Rs
PLD	PLD
PM	PM
PM	p
PMK	Pairwise Master Key
PNG	PNG
PNG	Portable Network Graphics
PNRP	PNRP
POP3	POP3
POP3	Post Office Protocol
POP3	Post Office Protocol version 3
POSIX	POSIX
POST	POST
POST	power-on self test
POTS	POTS
PPI	PPI
PPLive	PPLive
PPP	PPP
PPPoE	PPPoE
PPPoE	Point-to-Point Protocol over Ethernet
PPTP	PPTP
PQFP	PQFP
PR	PR
PR	public relations
PR	public relations officer
PRF	PRF
PSK31	PSK31
PSPACE	PSPACE
PSS	PSS
PUK	PUK
PUK2	PUK2
PXE	PXE
PXE	Preboot Execution Environment
Pakiseutan	Pakistan
Palli	like nobody’s business
Panose	Panose
Pantone	Pantone
Paragwai	Paraguay
Pari	Paris
Parklife	Parklife
PeerCast	PeerCast
Perl	Perl
Perl	Practical Extraction and Report Language
Peurangseu	France
Peuroisen	Prussia
Pfam	Pfam
PhpBB	PhpBB
Pinnandeu	Finland
Pirenche	Florence
Playdia	Playdia
Pneumonoultramicroscopicsilicovolcanoconiosis	Pneumonoultramicroscopicsilicovolcanoconiosis
Pollandeu	Poland
Poreutugal	Portugal
PostgreSQL	PostgreSQL
Producer	Producer
ProgID	ProgID
Pthread	POSIX Threads
PyPy	PyPy
Pyeongyang	Pyongyang
Q	Q
QA	QA
QEMU	QEMU
QES	QES
QFE	QFE
QFE	quick fix engineering
QFP	QFP
QNX	QNX
QS	QS
QoS	QoS
Qt	Qt
QuickTime	QuickTime
R	BRL
R	R
R18	R18
R46	R46
RAC	Reliability Analysis Component
RADIUS	RADIUS
RADIUS	Remote Authentication Dial-In User Service
RAID	RAID
RAID	Redundant Array of Independent Disks
RAID	retrieval and information database
RAM	RAM
RAM	random access memory
RANDU	RANDU
RAR	RAR
RARP	RARP
RAT	remote access Trojan
RBL	RBL
RDA	RDA
RDA	remote data access
RDBMS	RDBMS
RDF	Resource Description Framework
RDL	RDL
RDL	Report Definition Language
RDP	RDP
RDP	Remote Desktop Protocol
RE	RE
RELURL	RELURL
REST	Representational State Transfer
RFC	RFC
RFC	Request For Comments
RFC	Request for Comments
RGB	red-green-blue
RGBA	RGBA
RGBA	red
RHS	RHS
RID	RID
RIP	RIP
RIP	Routing Information Protocol
RIS	RIS
RISC	reduced instruction set computing
RLSD	RLSD
RMM	RMM
RNA	RNA
ROM	ROM
ROM	read-only memory
ROMANS	Romans
ROT13	ROT13
RP	RP
RPC	RPC
RPD	RPD
RPK	RPK
RPN	RPN
RR	RR
RRAM	Resistive Random Access Memory
RRNA	Ribosomal RNA
RSA	RSA
RSAC	RSAC
RSAC	Recreational Software Advisory Council
RSI	RSI
RSI	repetitive strain injury
RSS	RSS
RSS	Rich Site Summary
RSVP	RSVP
RSVP	Resource Reservation Protocol
RTAI	RTAI
RTBF	RTBF
RTSP	RTSP
RTSP	Real-Time Streaming Protocol
RWF	RF
RX	RX
Rabateu	Rabat
Radiovce	Radiovce
Raoseu	Laos
Rateubia	Latvia
ReactOS	ReactOS
Reosia	Russia
Rig	rig
Rituania	Lithuania
Rwibekeu	Lübeck
SA	SA
SA80	SA80
SACD	Super Audio CD
SACL	SACL
SAMI	SAMI
SAMI	Synchronized Accessible Media Interchange
SAN	SAN
SAP	Service Advertising Protocol
SASL	SASL
SASL	Simple Authentication and Security Layer
SAT	SAT
SATA	Serial ATA
SAX	Simple API for XML
SBCS	SBCS
SBS	SBS
SBSI	SBSI
SCI	Science Citation Index
SCIM	Smart Common Input Method
SCL	SCL
SCO	SCO
SCR	SR
SCSI	SCSI
SCSI	small computer system interface
SCW	SCW
SDSL	Symmetric Digital Subscriber Line
SECT	SECT
SEED	SEED
SEK	kr
SENS	SENS
SETI	SETI
SGC	SGC
SGC	Server Gated Cryptography
SGML	SGML
SGML	Standard Generalized Markup Language
SHA	SHA
SHA	Secure Hash Algorithm
SHV	SHV
SID	SID
SID	security identifier
SIGCOMM	SIGCOMM
